id,name,type,smd,place,qty,min,approx,unknown,updatedAt,updatedBy
EC001,330 Ω Resistor,Resistor,,A1,10,10,Yes,,2026-09-09T00:00:00.000Z,import
EC002,70 Ω Resistor,Resistor,,A1,5,10,Yes,,2026-09-09T00:00:00.000Z,import
EC003,68 Ω Resistor,Resistor,,A1,150,10,Yes,,2026-09-09T00:00:00.000Z,import
EC004,100 Ω Resistor,Resistor,,A1,25,10,Yes,,2026-09-09T00:00:00.000Z,import
EC005,5.2 Ω Resistor,Resistor,,A1,20,10,Yes,,2026-09-09T00:00:00.000Z,import
EC006,150K Ω Resistor,Resistor,,A1,10,10,Yes,,2026-09-09T00:00:00.000Z,import
EC007,15K Ω Resistor,Resistor,,A1,15,10,Yes,,2026-09-09T00:00:00.000Z,import
EC008,220 Ω Resistor,Resistor,,A2,50,10,Yes,,2026-09-09T00:00:00.000Z,import
EC009,10K Ω Resistor,Resistor,,A2,50,10,Yes,,2026-09-09T00:00:00.000Z,import
EC010,330K Ω Resistor,Resistor,,A2,25,10,Yes,,2026-09-09T00:00:00.000Z,import
EC011,470 Ω Resistor,Resistor,,A2,10,10,Yes,,2026-09-09T00:00:00.000Z,import
EC012,4.7K Ω Resistor,Resistor,,A2,30,10,Yes,,2026-09-09T00:00:00.000Z,import
EC013,1K Ω Resistor,Resistor,,A2,50,10,Yes,,2026-09-09T00:00:00.000Z,import
EC014,470 Ω Preset Potentiometer,Potentiometer,,A3,5,4,,,2026-09-09T00:00:00.000Z,import
EC015,4.7K Ω Preset Potentiometer,Potentiometer,,A3,3,4,,,2026-09-09T00:00:00.000Z,import
EC016,1M Ω Preset Potentiometer,Potentiometer,,A3,5,4,,,2026-09-09T00:00:00.000Z,import
EC017,10K Ω Preset Potentiometer,Potentiometer,,A3,3,4,,,2026-09-09T00:00:00.000Z,import
EC018,100 Ω Preset Potentiometer,Potentiometer,,A3,4,4,,,2026-09-09T00:00:00.000Z,import
EC019,1K Ω Preset Potentiometer,Potentiometer,,A3,100,4,Yes,,2026-09-09T00:00:00.000Z,import
EC020,200 Ω Preset Potentiometer,Potentiometer,,A3,6,4,,,2026-09-09T00:00:00.000Z,import
EC021,LDR,Resistor,,A4,25,10,,,2026-09-09T00:00:00.000Z,import
EC022,QRD1114,Sensor,,A4,16,2,,,2026-09-09T00:00:00.000Z,import
EC023,Adafruit PDM MEMS,Microphone,,A4,5,2,,,2026-09-09T00:00:00.000Z,import
EC024,Microphone and Microphone Module,Microphone,,A4,,2,,Yes,2026-09-09T00:00:00.000Z,import
EC025,Speacker Speacker Module,Speaker,,A4,,1,,Yes,2026-09-09T00:00:00.000Z,import
EC026,1uf 63V capacitor,Capacitor,,A5,44,10,,,2026-09-09T00:00:00.000Z,import
EC027,104 Non Polarised Capacitor,Capacitor,,A5,147,10,,,2026-09-09T00:00:00.000Z,import
EC028,150 Non Polarised Capacitor,Capacitor,,A5,77,10,,,2026-09-09T00:00:00.000Z,import
EC029,103 Non Polarised Capacitor,Capacitor,,A5,24,10,,,2026-09-09T00:00:00.000Z,import
EC030,33 Non Polarised Capacitor,Capacitor,,A5,39,10,,,2026-09-09T00:00:00.000Z,import
EC031,0.1uf 50v Capacitor,Capacitor,,A5,15,10,,,2026-09-09T00:00:00.000Z,import
EC032,203 Non Polarised Capacitor,Capacitor,,A5,83,10,,,2026-09-09T00:00:00.000Z,import
EC033,102 Non Polarised Capacitor,Capacitor,,A5,11,10,,,2026-09-09T00:00:00.000Z,import
EC034,2.7 Non polarised Capacitor,Capacitor,,A5,6,10,,,2026-09-09T00:00:00.000Z,import
EC035,47 Non polarised Capacitor,Capacitor,,A5,6,10,,,2026-09-09T00:00:00.000Z,import
EC036,56 Non Polarised Capacitor,Capacitor,,A5,8,10,,,2026-09-09T00:00:00.000Z,import
EC037,1K 63 Voltage Filter,Filter,,A5,9,4,,,2026-09-09T00:00:00.000Z,import
EC038,22J Fuse,Fuse,,A5,8,4,,,2026-09-09T00:00:00.000Z,import
EC039,22 Non Polarised Capacitor,Capacitor,,A6,65,10,,,2026-09-09T00:00:00.000Z,import
EC040,20 Non Polarised Capacitor,Capacitor,,A6,29,10,,,2026-09-09T00:00:00.000Z,import
EC041,1uf 450v Capacitor,Capacitor,,A6,14,10,,,2026-09-09T00:00:00.000Z,import
EC042,1000uf 16v Capacitor,Capacitor,,A6,14,10,,,2026-09-09T00:00:00.000Z,import
EC043,22uf 63v Capacitor,Capacitor,,A6,14,10,,,2026-09-09T00:00:00.000Z,import
EC044,10uf 63v Capacitor,Capacitor,,A6,64,10,,,2026-09-09T00:00:00.000Z,import
EC045,100uf 25v Capacitor,Capacitor,,A6,12,10,,,2026-09-09T00:00:00.000Z,import
EC046,10uf 25v Capacitor,Capacitor,,A6,19,10,,,2026-09-09T00:00:00.000Z,import
EC047,2.2uf 63v Capacitor,Capacitor,,A6,7,10,,,2026-09-09T00:00:00.000Z,import
EC048,10uf 50v Capacitor,Capacitor,,A6,7,10,,,2026-09-09T00:00:00.000Z,import
EC049,473J1000 Filter,Filter,,A6,5,4,,,2026-09-09T00:00:00.000Z,import
EC050,200K Ω Resistor,Resistor,,A7,50,10,Yes,,2026-09-09T00:00:00.000Z,import
EC051,23K Ω Resistor,Resistor,,A7,100,10,Yes,,2026-09-09T00:00:00.000Z,import
EC052,2.2M Ω Resistor,Resistor,,A7,50,10,Yes,,2026-09-09T00:00:00.000Z,import
EC053,25 Ω Resistor,Resistor,,A7,25,10,Yes,,2026-09-09T00:00:00.000Z,import
EC054,15 Ω Resistor,Resistor,,A7,20,10,Yes,,2026-09-09T00:00:00.000Z,import
EC055,Thermistor,Sensor,,B1,4,2,,,2026-09-09T00:00:00.000Z,import
EC056,AA battery,Battery,,B1,4,2,,,2026-09-09T00:00:00.000Z,import
EC057,Coin Cell Holder,Battery,,B1,5,2,,,2026-09-09T00:00:00.000Z,import
EC058,AAA Battery,Battery,,B1,5,2,,,2026-09-09T00:00:00.000Z,import
EC059,6 pin IC base,IC Base,,B1,93,5,,,2026-09-09T00:00:00.000Z,import
EC060,2W 105 Non Polarised Capacitor,Capacitor,,B2,17,10,,,2026-09-09T00:00:00.000Z,import
EC061,Plastic Film Capacitor,Capacitor,,B2,14,10,,,2026-09-09T00:00:00.000Z,import
EC062,XBEE Module,Module,,B2,2,2,,,2026-09-09T00:00:00.000Z,import
EC063,LM35,Sensor,,B3,16,2,,,2026-09-09T00:00:00.000Z,import
EC064,MQ-5,Sensor,,B3,11,2,,,2026-09-09T00:00:00.000Z,import
EC065,MQ-7,Sensor,,B3,20,2,,,2026-09-09T00:00:00.000Z,import
EC066,MQ-2,Sensor,,B3,9,2,,,2026-09-09T00:00:00.000Z,import
EC067,Photoelectric Switch,Switch,,B3,5,4,,,2026-09-09T00:00:00.000Z,import
EC068,TCST 1103 Transmissive Optical Sensor,Sensor,,B3,10,2,,,2026-09-09T00:00:00.000Z,import
EC069,MQ-6,Sensor,,B3,3,2,,,2026-09-09T00:00:00.000Z,import
EC070,DTMF board,Module,,B4,5,2,,,2026-09-09T00:00:00.000Z,import
EC071,SPST Rocker Switch,Switch,,B4,19,4,,,2026-09-09T00:00:00.000Z,import
EC072,Vibration Motor,Motor,,B4,3,2,,,2026-09-09T00:00:00.000Z,import
EC073,Big Push Button Switch,Switch,,B4,4,4,,,2026-09-09T00:00:00.000Z,import
EC074,6- Pin Self Lock Switch,Switch,,B4,18,4,,,2026-09-09T00:00:00.000Z,import
EC075,433 RF Transmitter Module,Module,,B5,16,2,,,2026-09-09T00:00:00.000Z,import
EC076,433 Reciever Module,Module,,B5,3,2,,,2026-09-09T00:00:00.000Z,import
EC077,15 MHz Oscillator,Oscillator,,B6,10,5,,,2026-09-09T00:00:00.000Z,import
EC078,12 MHz Oscillator,Oscillator,,B6,36,5,,,2026-09-09T00:00:00.000Z,import
EC079,8 MHz Oscillator,Oscillator,,B6,40,5,,,2026-09-09T00:00:00.000Z,import
EC080,3.579 MHz Oscillator,Oscillator,,B6,102,5,,,2026-09-09T00:00:00.000Z,import
EC081,11.592 MHz Oscillator,Oscillator,,B6,65,5,,,2026-09-09T00:00:00.000Z,import
EC082,16MHz Oscillator,Oscillator,,B6,2,5,,,2026-09-09T00:00:00.000Z,import
EC083,203Trimmer Potentiometer,Potentiometer,,B7,48,4,,,2026-09-09T00:00:00.000Z,import
EC084,103 Trimmer Potentiometer Horizontal,Potentiometer,,B7,36,4,,,2026-09-09T00:00:00.000Z,import
EC085,103 Trimmer Potentiometer verticle,Potentiometer,,B7,56,4,,,2026-09-09T00:00:00.000Z,import
EC086,SK 100 B Silicon Transistor,Transistor,,B7,7,4,,,2026-09-09T00:00:00.000Z,import
EC087,RGB Common Anode,LED,,B8,14,5,,,2026-09-09T00:00:00.000Z,import
EC088,photo diode Transmitter,LED,,B8,14,5,,,2026-09-09T00:00:00.000Z,import
EC089,Photo Diode Reciever,LED,,B8,2,5,,,2026-09-09T00:00:00.000Z,import
EC090,7 Segment Small,LED,,B8,15,5,,,2026-09-09T00:00:00.000Z,import
EC091,7 Segment BIG (CA),LED,,B8,30,5,,,2026-09-09T00:00:00.000Z,import
EC092,I2C OLED,LED,,B8,1,5,,,2026-09-09T00:00:00.000Z,import
EC093,3 MM blue LED,LED,,B8,93,5,,,2026-09-09T00:00:00.000Z,import
EC094,2 Pin Screw Block Connector,Connector,,B9,7,4,,,2026-09-09T00:00:00.000Z,import
EC095,3 Pin Screw Block Connector,Connector,,B9,9,4,,,2026-09-09T00:00:00.000Z,import
EC096,PIR,Sensor,,B9,5,2,,,2026-09-09T00:00:00.000Z,import
EC097,IR Sensor,Sensor,,B9,23,2,,,2026-09-09T00:00:00.000Z,import
EC098,IR sensor (SMD),Sensor,,B9,2,2,,,2026-09-09T00:00:00.000Z,import
EC099,Latching Push-Button Switch,Switch,,C1,9,4,,,2026-09-09T00:00:00.000Z,import
EC100,Slide Switch,Switch,,C1,18,4,,,2026-09-09T00:00:00.000Z,import
EC101,Push Switch,Switch,,C1,,4,,Yes,2026-09-09T00:00:00.000Z,import
EC102,18 Pin IC Base,IC Base,,C2,51,5,,,2026-09-09T00:00:00.000Z,import
EC103,14 Pin IC Base,IC Base,,C2,188,5,,,2026-09-09T00:00:00.000Z,import
EC104,20 Pin IC Base,IC Base,,C2,144,5,,,2026-09-09T00:00:00.000Z,import
EC105,24V Relay,Relay,,C3,10,2,,,2026-09-09T00:00:00.000Z,import
EC106,5V Realy,Relay,,C3,20,2,,,2026-09-09T00:00:00.000Z,import
EC107,L298N Module,Module,,C3,5,2,,,2026-09-09T00:00:00.000Z,import
EC108,28 Pin IC Base,IC Base,,C4,6,5,,,2026-09-09T00:00:00.000Z,import
EC109,40 Pin ZIF Socket,IC Base,,C4,3,5,,,2026-09-09T00:00:00.000Z,import
EC110,28 Pin ZIF Socket,IC Base,,C4,13,5,,,2026-09-09T00:00:00.000Z,import
EC111,NEO 6M GPS Module,Module,,UNASSIGNED,15,2,,,2026-09-09T00:00:00.000Z,import
EC112,SIM800L GPRS GSM Module,Module,,C5,10,2,,,2026-09-09T00:00:00.000Z,import
EC113,NEO6M GPS Antenna,Antenna,,C5,6,1,,,2026-09-09T00:00:00.000Z,import
EC114,IRF 420 Mosfet Module,Module,,C5,1,2,,,2026-09-09T00:00:00.000Z,import
EC115,Normal Screw Bolt,Hardware,,C6,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC116,SMD Screw and Bolt,Hardware,,C7,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC117,Heat Sink,Heat Sink,,C8,5,4,,,2026-09-09T00:00:00.000Z,import
EC118,8 Pin IC Base,IC Base,,C8,25,5,,,2026-09-09T00:00:00.000Z,import
EC119,16 Pin IC Base,IC Base,,C8,98,5,,,2026-09-09T00:00:00.000Z,import
EC120,A 103 J Resister Network,Resistor,,C8,154,10,,,2026-09-09T00:00:00.000Z,import
EC121,Zener Diode,Diode,,C8,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC122,NE 555 P,IC,,D1,32,4,,,2026-09-09T00:00:00.000Z,import
EC123,MT 8870 DE,IC,,D1,4,4,,,2026-09-09T00:00:00.000Z,import
EC124,HT 9170 B,IC,,D1,19,4,,,2026-09-09T00:00:00.000Z,import
EC125,ULN2003APG,IC,,D1,36,4,,,2026-09-09T00:00:00.000Z,import
EC126,ULN2803APG,IC,,D1,25,4,,,2026-09-09T00:00:00.000Z,import
EC127,HD74LS02P,IC,,D1,22,4,,,2026-09-09T00:00:00.000Z,import
EC128,SN74HC595N,IC,,D1,32,4,,,2026-09-09T00:00:00.000Z,import
EC129,LM324N,IC,,D1,56,4,,,2026-09-09T00:00:00.000Z,import
EC130,LM386,IC,,D1,4,4,,,2026-09-09T00:00:00.000Z,import
EC131,LM358N,IC,,D1,17,4,,,2026-09-09T00:00:00.000Z,import
EC132,MOC3021,IC,,D2,7,4,,,2026-09-09T00:00:00.000Z,import
EC133,4N35,IC,,D2,19,4,,,2026-09-09T00:00:00.000Z,import
EC134,BC547B,IC,,D2,48,4,,,2026-09-09T00:00:00.000Z,import
EC135,A741,IC,,D2,5,4,,,2026-09-09T00:00:00.000Z,import
EC136,DB 107 Bridge Rectfire,IC,,D2,17,4,,,2026-09-09T00:00:00.000Z,import
EC137,BC558B,IC,,D2,29,4,,,2026-09-09T00:00:00.000Z,import
EC138,L7805,IC,,D3,48,4,,,2026-09-09T00:00:00.000Z,import
EC139,IRF Z44N,IC,,D3,21,4,,,2026-09-09T00:00:00.000Z,import
EC140,TS317,IC,,D3,10,4,,,2026-09-09T00:00:00.000Z,import
EC141,LM317,IC,,D3,18,4,,,2026-09-09T00:00:00.000Z,import
EC142,IRF9540 N,IC,,D3,11,4,,,2026-09-09T00:00:00.000Z,import
EC143,BT136,IC,,D3,15,4,,,2026-09-09T00:00:00.000Z,import
EC144,IRF9234N,IC,,D3,3,4,,,2026-09-09T00:00:00.000Z,import
EC145,LD33V,IC,,D3,23,4,,,2026-09-09T00:00:00.000Z,import
EC146,ATmega 8A,IC,,D4,24,4,,,2026-09-09T00:00:00.000Z,import
EC147,ATmega 328 P,IC,,D4,12,4,,,2026-09-09T00:00:00.000Z,import
EC148,MAX 232 CPE / N,IC,,D4,86,4,,,2026-09-09T00:00:00.000Z,import
EC149,36ZFDT4G3 - ADC0804LCN,IC,,D4,37,4,,,2026-09-09T00:00:00.000Z,import
EC150,P0838AB - ADC0804LCN,IC,,D4,34,4,,,2026-09-09T00:00:00.000Z,import
EC151,L293D,IC,,D4,49,4,,,2026-09-09T00:00:00.000Z,import
EC152,74LS08P,IC,,D5,41,4,,,2026-09-09T00:00:00.000Z,import
EC153,74LS32P,IC,,D5,5,4,,,2026-09-09T00:00:00.000Z,import
EC154,74LS164N,IC,,D5,4,4,,,2026-09-09T00:00:00.000Z,import
EC155,74LS86P,IC,,D5,2,4,,,2026-09-09T00:00:00.000Z,import
EC156,74LS136N,IC,,D5,3,4,,,2026-09-09T00:00:00.000Z,import
EC157,74LS245P,IC,,D5,2,4,,,2026-09-09T00:00:00.000Z,import
EC158,74LS12N,IC,,D5,2,4,,,2026-09-09T00:00:00.000Z,import
EC159,74LS04P,IC,,D5,3,4,,,2026-09-09T00:00:00.000Z,import
EC160,74LS161N,IC,,D5,1,4,,,2026-09-09T00:00:00.000Z,import
EC161,74HC244,IC,,D5,1,4,,,2026-09-09T00:00:00.000Z,import
EC162,74HCT138,IC,,D5,2,4,,,2026-09-09T00:00:00.000Z,import
EC163,74HC86,IC,,D5,1,4,,,2026-09-09T00:00:00.000Z,import
EC164,74LS90N,IC,,D5,1,4,,,2026-09-09T00:00:00.000Z,import
EC165,74HC32N,IC,,D5,1,4,,,2026-09-09T00:00:00.000Z,import
EC166,ST232CN,IC,,D5,7,4,,,2026-09-09T00:00:00.000Z,import
EC167,ADM 232 LJN,IC,,D6,5,4,,,2026-09-09T00:00:00.000Z,import
EC168,SP232 AEP,IC,,D6,2,4,,,2026-09-09T00:00:00.000Z,import
EC169,LX232N,IC,,D6,2,4,,,2026-09-09T00:00:00.000Z,import
EC170,ATmega 16,IC,,D6,2,4,,,2026-09-09T00:00:00.000Z,import
EC171,PIC16F877A,IC,,D6,7,4,,,2026-09-09T00:00:00.000Z,import
EC172,HT-12E,IC,,D6,13,4,,,2026-09-09T00:00:00.000Z,import
EC173,HT-12D,IC,,D6,22,4,,,2026-09-09T00:00:00.000Z,import
EC174,UA741CN,IC,,D7,4,4,,,2026-09-09T00:00:00.000Z,import
EC175,CM8870PI,IC,,D7,4,4,,,2026-09-09T00:00:00.000Z,import
EC176,AT89C2051,IC,,D7,3,4,,,2026-09-09T00:00:00.000Z,import
EC177,HCF40417BE,IC,,D7,8,4,,,2026-09-09T00:00:00.000Z,import
EC178,CS9370,IC,,D7,4,4,,,2026-09-09T00:00:00.000Z,import
EC179,3.5 MM jack,Connector,,E1,,4,,Yes,2026-09-09T00:00:00.000Z,import
EC180,PSoC 4 CY8C,MCU / Dev Board,,E2,5,1,,,2026-09-09T00:00:00.000Z,import
EC181,Arduino Mega,MCU / Dev Board,,E2,1,1,,,2026-09-09T00:00:00.000Z,import
EC182,Arduino UNO,MCU / Dev Board,,E2,5,1,,,2026-09-09T00:00:00.000Z,import
EC183,ESP 8266,MCU / Dev Board,,E3,4,1,,,2026-09-09T00:00:00.000Z,import
EC184,ESP32,MCU / Dev Board,,E3,7,1,,,2026-09-09T00:00:00.000Z,import
EC185,Female to Female,Jumper Wire,,E4,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC186,Male to Male,Jumper Wire,,E5,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC187,Male to Female,Jumper Wire,,E6,,5,,Yes,2026-09-09T00:00:00.000Z,import
EC188,16x2 LCD Display,Display,,G1,14,1,,,2026-09-09T00:00:00.000Z,import
EC189,USB Extention Cable,Cable,,G2,10,2,,,2026-09-09T00:00:00.000Z,import
EC190,Ri- Pi Cable,Cable,,G3,5,2,,,2026-09-09T00:00:00.000Z,import
EC191,HDMI Adapter,Power,,G3,3,2,,,2026-09-09T00:00:00.000Z,import
EC192,AC cords and cables,Cable,,G4,,2,,Yes,2026-09-09T00:00:00.000Z,import
EC193,Robotronix IR sensor,Module,,G5,47,2,,,2026-09-09T00:00:00.000Z,import
EC194,1 Channel Relay Module,Relay,,G6,21,2,,,2026-09-09T00:00:00.000Z,import
EC195,2 Channel Relay Module,Relay,,G6,4,2,,,2026-09-09T00:00:00.000Z,import
EC196,4 Channel Relay Module,Relay,,G6,4,2,,,2026-09-09T00:00:00.000Z,import
EC197,A Type USB Cable,Cable,,H1,18,2,,,2026-09-09T00:00:00.000Z,import
EC198,STM 32 Cable,Cable,,H1,1,2,,,2026-09-09T00:00:00.000Z,import
EC199,Micro USB Cable,Cable,,H1,3,2,,,2026-09-09T00:00:00.000Z,import
EC200,JST connector,Connector,,H2,,4,,Yes,2026-09-09T00:00:00.000Z,import
EC201,USB Extention Cable,Cable,,H3,5,2,,,2026-09-09T00:00:00.000Z,import
EC202,GSM Rx Module,Module,,H4,5,2,,,2026-09-09T00:00:00.000Z,import
EC203,19v Adapter,Power,,ADAPTER BOX,2,2,,,2026-09-09T00:00:00.000Z,import
EC204,5V adapter,Power,,ADAPTER BOX,8,2,,,2026-09-09T00:00:00.000Z,import
EC205,12v Adapter,Power,,ADAPTER BOX,9,2,,,2026-09-09T00:00:00.000Z,import
EC206,9V Adapter,Power,,ADAPTER BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC207,14V Adapter,Power,,ADAPTER BOX,1,2,,,2026-09-09T00:00:00.000Z,import
EC208,BreadBoard,Power,,UNASSIGNED,13,2,,,2026-09-09T00:00:00.000Z,import
